Column_name
lot_size_acres
tax_annual_amount
association_fee
lot_size_units
living_area
appliances
property_type
building_name
listed_by
city
listing_id
flooring
tax_year
bathrooms_total
bedrooms_total
acres
middle_or_junior_school
elementary_school
location
listing_detail
high_school
status
bathrooms_half
price
bedrooms
full_baths
square_feet
address
high_school_district
lot_size_square_feet
parking_total
total_baths
bathrooms_three_quarter
year_built
mls
bathrooms_full
property_sub_type
subdivision_name
county_or_parish
