Column_name
total_interior_livable_area
full_bathrooms
roof_material
garage_spaces
price_per_sqft
agent_name
overview
baths
on_waterfront
living_area
lot_size
appliances
parking
year_built
city
total_spaces
covered_spaces
flooring
zipcode
rent_control
exterior_features
state
stories
posting_website_link_text
cooling
new_construction
phone_number
price
agent_license_number
major_remodel_year
agent_id
parking_features
basement
house_type
fireplace
tax_assessed_value
house_id
annual_tax_amount
heating
beds
mls_id
posting_group_name
parcel_number
home_type
sun_score
half_bathrooms
street_address
